longitude,latitude,start_date,end_date,label,id,index
-55.0510591349301,-11.8845370589728,2002-09-14,2003-06-10,Forest,67,5
-55.0510591349301,-11.8845370589728,2003-09-14,2004-09-29,Pasture,68,5
-55.0510591349301,-11.8845370589728,2004-09-13,2005-07-12,Pasture,69,5
-55.0510591349301,-11.8845370589728,2005-08-29,2006-08-13,Pasture,70,5
-55.0510591349301,-11.8845370589728,2006-10-16,2007-07-28,Pasture,71,5
-55.0510591349301,-11.8845370589728,2007-09-30,2008-08-12,Pasture,72,5
-55.0510591349301,-11.8845370589728,2008-08-12,2009-08-13,Double_cropping,73,5
-55.0510591349301,-11.8845370589728,2009-08-13,2010-06-26,Pasture,74,5
-55.0510591349301,-11.8845370589728,2010-09-30,2011-08-13,Double_cropping,75,5
-55.0510591349301,-11.8845370589728,2011-08-29,2012-09-13,Double_cropping,76,5
-55.0510591349301,-11.8845370589728,2012-08-28,2013-07-28,Double_cropping,77,5
-55.0510591349301,-11.8845370589728,2013-07-12,2014-07-12,Double_cropping,78,5
-55.0510591349301,-11.8845370589728,2014-09-30,2015-07-12,Pasture,79,5
-55.0510591349301,-11.8845370589728,2015-08-29,2016-07-27,Pasture,80,5
-55.0506379116342,-11.8824537256396,2000-09-13,2001-08-13,Forest,81,6
-55.0506379116342,-11.8824537256396,2001-11-01,2002-07-12,Forest,82,6
-55.0506379116342,-11.8824537256396,2002-11-17,2003-06-10,Forest,83,6
-55.0506379116342,-11.8824537256396,2003-09-14,2004-06-25,Pasture,84,6
-55.0506379116342,-11.8824537256396,2004-08-28,2005-08-13,Pasture,85,6
-55.0506379116342,-11.8824537256396,2005-07-28,2006-09-14,Pasture,86,6
-55.0506379116342,-11.8824537256396,2006-10-16,2007-09-14,Pasture,87,6
-55.0506379116342,-11.8824537256396,2007-11-01,2008-09-13,Pasture,88,6
-55.0506379116342,-11.8824537256396,2008-10-15,2009-07-12,Pasture,89,6
-55.0506379116342,-11.8824537256396,2009-06-26,2010-08-29,Pasture,90,6
-55.0506379116342,-11.8824537256396,2010-07-28,2011-08-29,Pasture,91,6
-55.0506379116342,-11.8824537256396,2011-08-13,2012-07-27,Pasture,92,6
-55.0506379116342,-11.8824537256396,2012-08-28,2013-07-28,Pasture,93,6
-55.0506379116342,-11.8824537256396,2013-07-28,2014-07-12,Pasture,94,6
-55.0506379116342,-11.8824537256396,2014-07-28,2015-08-29,Pasture,95,6
-55.0506379116342,-11.8824537256396,2015-07-28,2016-08-28,Pasture,96,6
-55.0502167675669,-11.8803703923065,2000-09-13,2001-08-13,Forest,97,7
-55.0502167675669,-11.8803703923065,2001-11-17,2002-07-12,Forest,98,7
-55.0502167675669,-11.8803703923065,2002-09-14,2003-06-10,Forest,99,7
